2023-02-15 09:12:58.8105|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7122/_framework/aspnetcore-browser-refresh.js - -
2023-02-15 09:12:58.8344|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending HEADERS frame for stream ID 3 with length 60 and flags END_HEADERS.
2023-02-15 09:12:58.8344|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 3 with length 12002 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM.
2023-02-15 09:12:58.8433|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7122/_framework/aspnetcore-browser-refresh.js - - - 200 12002 application/javascript;+charset=utf-8 30.4474ms
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending HEADERS frame for stream ID 5 with length 149 and flags END_HEADERS.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 9986 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
